"weibo_url","logos","borrowed_binary","intrinsic_binary","positive_binary","negative_binary","patriotism_binary","pathos_other_binary","reciprocity_binary","storytelling_binary","gratitude_binary","repetition_binary"
"http://weibo.com/1000117115/zssrpe9rV","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1000172871/CgL7bmm2X","1","1","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1000184125/A5MvsrTSN","1","1","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1000338695/Ce2S7lxBZ","0","0","0","0","1","0","0","1","0","0","0"
"http://weibo.com/1000432103/zvVI3BVC6","0","0","0","0","1","0","0","0","1","0","1"
"http://weibo.com/1001091494/zn9cwvYLq","1","1","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1001277790/GFofSkUso","1","0","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1001477932/ABJl64nha","0","0","1","0","0","0","0","0","0","0","0"
"http://weibo.com/1001731495/zt1AKwoDT","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1001766960/z9aoM7VIr","0","0","1","0","1","0","0","0","0","0","0"
"http://weibo.com/1001953305/CvLfPcJCL","1","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1002179517/FzmG1pbsQ","0","0","0","0","1","0","0","0","1","0","1"
"http://weibo.com/1002223365/CvKK0uWop","0","0","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1002665483/CyzI40V7Z","1","0","1","0","0","0","0","0","0","0","1"
"http://weibo.com/1002676744/zd9XX5NgR","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1003256662/D2uau7suq","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1003453305/Gbo5psUPL","1","1","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1003707044/C3W5ByHZ4","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1003763994/zmCZFAipq","0","0","0","0","0","0","1","0","0","0","1"
"http://weibo.com/1003796360/GejrFbqfi","0","0","0","0","1","0","0","0","1","0","1"
"http://weibo.com/1004111467/yFlMZE5lx","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1004341644/yBqwdunjJ","1","0","0","0","0","1","0","0","0","0","1"
"http://weibo.com/1005066857/GD6vh7wvA","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1005321812/BjJ1nFvsJ","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1005907974/DyHsy4BJr","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1005977933/zAt6xnqbi","0","0","0","0","1","0","0","0","1","0","1"
"http://weibo.com/1006119663/CiiUjyW8F","0","0","0","1","0","0","0","0","0","0","0"
"http://weibo.com/1006405371/C17FIaxgm","1","1","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1006535281/CdTsMwkbD","0","0","0","0","1","0","0","1","0","1","0"
"http://weibo.com/1006677650/HpH2soMuk","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1006748483/CfzxWx08D","0","0","0","0","1","0","0","1","0","1","0"
"http://weibo.com/1006947225/BsZFllzJp","1","0","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1007201710/CnicoAxhI","1","0","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1007324821/zt4HR296j","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1007367854/F3ttefVU0","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1007712942/zu4Xu9HIA","1","0","0","0","1","1","0","0","0","0","1"
"http://weibo.com/1007932250/CvrDu6JQL","1","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1008041014/B7qQJjWhk","0","0","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1008085885/Coj3Seeb1","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1008309065/AB8Bo3tlQ","1","1","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1008375914/GmlCS2bZM","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1008456830/DyJ5o3TGW","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1008762772/Hl3mP76KP","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1009037063/CcbWIwvAF","1","1","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1009075837/zib6Dd0NE","0","0","0","0","0","0","0","0","1","0","1"
"http://weibo.com/1009422755/CllpKxZ8L","0","0","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1009451610/ExrIO7dJV","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1009536337/znc7HED6v","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1009832295/Brfh0pyCV","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1010148537/BBL3gbD9m","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1010156883/ClhtQqlqh","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1010215343/CgGNXpqBX","0","0","0","0","1","0","0","1","0","1","0"
"http://weibo.com/1010326637/Cl1MQzd6X","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1010401881/zAmVIgntU","0","0","0","0","0","0","1","0","0","0","0"
"http://weibo.com/1010514645/CyOh13h9R","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1010556201/Ce79emk4g","0","0","0","0","1","0","0","1","0","1","0"
"http://weibo.com/1010657595/GsrbKjZbG","0","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1010895887/z7WdPbZi9","1","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1010989272/DyHaditbR","0","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1011004067/BuTdXybmG","0","1","0","0","0","0","1","0","0","0","0"
"http://weibo.com/1011100822/zmCI9Eh5l","0","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1012064437/BF1Mby3YN","1","1","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1012072083/Ca5q6eWLb","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1012129305/GgbjPoRgu","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1012469064/zf2SBje00","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1013700814/zt3tc0QTM","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1013811265/CcCaD4YeS","1","1","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1013814961/zmBQM98H8","0","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1014243020/zAcrfvScb","0","0","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1014880290/z117cmVwM","0","0","0","0","0","0","0","0","0","1","1"
"http://weibo.com/1014896613/F7jOFnZ4D","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1015028510/F4zKf5bOS","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1015143705/CaDGmkX4w","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1015563297/Cctp4sD8B","1","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1015797564/zoJ2z9maj","1","0","0","0","0","1","0","0","0","0","1"
"http://weibo.com/1015943033/Ciwmw8qKW","1","1","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1016024337/C8kTmp8fc","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1016273473/z3Vh3uJAE","1","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1016311660/zmdIk4hhz","0","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1016538802/BFC665ku9","1","1","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1016881263/GtmLefRxM","0","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1017067103/BBGncwz2t","0","0","0","0","1","0","0","0","0","1","0"
"http://weibo.com/1018058481/EDnRs5EFk","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1018191711/AeBwlkaKw","1","0","0","0","1","0","0","0","0","0","1"
"http://weibo.com/1018202263/CcAydk087","1","1","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1018519040/CmgkyppJU","0","0","0","1","0","0","0","0","0","0","0"
"http://weibo.com/1020334462/CbwPIuE5j","1","1","0","0","1","0","0","0","0","0","0"
"http://weibo.com/1021515552/zt2v5ygBD","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1022259324/GAwzk9pF2","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1022637627/C0aQH9XWd","0","0","0","0","1","0","0","1","0","0","1"
"http://weibo.com/1023738585/Fbl2R9llc","0","0","0","0","0","0","0","0","0","0","0"
"http://weibo.com/1025058304/BiTIWtlS8","0","1","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1025896811/C4o8xEcil","0","0","0","0","0","0","0","0","0","0","1"
"http://weibo.com/1025897380/zt0WUxzus","0","0","0","0","1","0","0","0","0","0","0"
